asset_id,asset_name,category,repository,file_or_directory_path,route,intended_public_url,current_state,publication_evidence,canonical_status,indexability_status,authorship_status,version_or_date_status,payload_journey_lab_naming_consistency,hora_city_relationship,udemy_cta_status,internal_links,external_links,evidence_source,risk_or_inconsistency,recommended_next_action,priority,confidence_level,external_verification_required
"PJL-ROUTE-001","Institutional homepage","Public route","PayloadJourneyLAB","app/page.tsx; content/routes.ts; content/payload-journey-lab.ts","/","https://www.payloadjourneylab.com/","Published but needs revision","Public page retrieved on 2026-07-27; current branch build and verifier pass.","Canonical institutional entry","Configured indexable; live indexation not verified","Publisher and creator configured in root metadata","No visible publication or update date","Canonical naming in current source","Links to /cases and summarizes the case","Active CTA with coupon URL","/payload-journey; /learn; /method; /cases; /ecosystem; /lab","Udemy; YouTube","app/page.tsx:24-29; content/routes.ts:254-270; public retrieval 2026-07-27","Live content differs from current branch and still links to live LabLog.","Confirm deployment commit and reconcile live navigation with the approved feature flag.","Critical","High","Yes — deployment identity and search indexation"
"PJL-ROUTE-002","Payload Journey canonical page","Public route","PayloadJourneyLAB","app/payload-journey/page.tsx; content/routes.ts; content/methods.ts","/payload-journey","https://www.payloadjourneylab.com/payload-journey","Published and stable","Public page retrieved and integrated verifier passed.","Canonical conceptual page","In current sitemap and configured indexable","Site-level creator and publisher only","No page date or version","Consistent","Provides the flow model referenced by the case","Indirect through navigation/footer","/usmt; /method; /learn","Udemy; YouTube through footer","app/payload-journey/page.tsx; content/routes.ts:4-13; verify:refactor-v3","No page-specific authorship, date or version.","Add editorial provenance in a future production task after human approval.","Medium","High","Yes — indexation"
"PJL-ROUTE-003","Learning and Udemy pathway","Public route","PayloadJourneyLAB","app/learn/page.tsx; content/site.ts; content/routes.ts","/learn","https://www.payloadjourneylab.com/learn","Published but needs revision","Public page and Udemy destination retrieved; current branch verifier passed.","Canonical learning page","In current sitemap and configured indexable","Site-level creator and publisher only","Course coupon expiration is null; page has no date","Consistent","Links to /cases as applied observation","Primary external course CTA with FOLLOW-THE-FLOW","/payload-journey; /cases; /method","Udemy; YouTube through footer","content/site.ts:17-19,132-203; app/learn/page.tsx; public retrieval 2026-07-27","Coupon validity and course publication state are temporal and not owned by repository evidence.","Verify coupon, course state and course metadata in Udemy.","High","High","Yes — Udemy owner dashboard"
"PJL-ROUTE-004","Cases and Evidence page","Public route","PayloadJourneyLAB","app/cases/page.tsx; content/cases.ts; content/hora-city.ts","/cases","https://www.payloadjourneylab.com/cases","Published but needs revision","Public page retrieved; current branch verifier confirms one case and two documentary sources.","Canonical case registry","In current sitemap and configured indexable","Internal author; no case-level byline or dates","openedAt and updatedAt are not confirmed","Consistent","Primary public location for RPJ-HORA-001","Footer only","/method; /protocol","Udemy; YouTube through footer","content/cases.ts:57-130; app/cases/page.tsx; public retrieval 2026-07-27","Calls narrative assertions public evidence although no log, trace or runtime artifact is published.","Publish sanitized technical evidence or narrow the evidence wording.","Critical","High","Yes — case facts and public deployment"
"PJL-ROUTE-005","USMT canonical page","Public route","PayloadJourneyLAB","app/usmt/page.tsx; content/usmt.ts; config/site.ts","/usmt","https://www.payloadjourneylab.com/usmt","Published and stable","Public page retrieved; build and verifier pass.","Canonical conceptual page","In sitemap and configured indexable","CreativeWork creator links to Valéria dos Santos Reiser","No method version or publication date","Consistent in current source","Expected-model instrument referenced by HORA.city examples","Footer only","/payload-journey; /protocol; /method","Udemy; YouTube through footer","config/site.ts:20-25; lib/structured-data.ts:44-55,104-106; public retrieval 2026-07-27","Historical documents use the superseded expansion Universal System Model Template.","Label historical Model Template documents as superseded and add method version provenance.","High","High","Yes — indexation and external authorship profiles"
"PJL-ROUTE-006","Methods taxonomy page","Public route","PayloadJourneyLAB","app/method/page.tsx; content/methods.ts","/method","https://www.payloadjourneylab.com/method","Published but needs revision","Public page retrieved; integrated verifier passed.","Canonical methods index","In sitemap and configured indexable","Site-level creator and publisher only","No method versions or dates","Consistent","Documents RPJ and Track to Origin applied narratively to the case","Footer only","/payload-journey; /usmt; /protocol; /investigation; /cases","Udemy; YouTube through footer","content/methods.ts:11-45,53-187; public retrieval 2026-07-27","Defines Trace Engineering as capabilities while LAB Definitions defines it as a practice.","Human editorial decision on the taxonomic status of Trace Engineering.","High","High","No for repository conflict; yes for indexation"
"PJL-ROUTE-007","Investigation protocol page","Public route","PayloadJourneyLAB","app/protocol/page.tsx; content/methods.ts","/protocol","https://www.payloadjourneylab.com/protocol","Published and stable","Public page retrieved; verifier confirms four phases.","Canonical protocol page","In sitemap and configured indexable","Site-level creator and publisher only","No protocol version or effective date","Consistent","Provides the investigation lifecycle expected for Case File 001","Footer only","/method; /investigation; /cases","Udemy; YouTube through footer","app/protocol/page.tsx; content/methods.ts; verify:method-practice","Named evidence artefacts are not present as canonical case files.","Create sanitized protocol artefacts for Case File 001.","High","High","Yes — indexation"
"PJL-ROUTE-008","Software System Investigation page","Public route","PayloadJourneyLAB","app/investigation/page.tsx; content/methods.ts","/investigation","https://www.payloadjourneylab.com/investigation","Published but needs revision","Public page retrieved; current verifier protects proposed role language.","Canonical practice page","In sitemap and configured indexable","Site-level creator and publisher only","No definition version or date","Consistent","Frames Track Mode, evidence and restoration for the case","Footer only","/method; /protocol; /learn; /cases","Udemy; YouTube through footer","content/methods.ts; app/investigation/page.tsx; public retrieval 2026-07-27","Live deployment copy is older than current branch and defines the practice differently.","Confirm deployment and align current canonical taxonomy after human review.","High","High","Yes — deployment identity"
"PJL-ROUTE-009","LAB Definitions page","Public route","PayloadJourneyLAB","app/lab-definitions/page.tsx; content/lab-definitions.ts","/lab-definitions","https://www.payloadjourneylab.com/lab-definitions","Connected to route but not externally verified","Current build and verifier pass; public web retrieval returned cache miss.","Declared canonical definitions page","In current sitemap and configured indexable","Site-level creator and publisher only","No definition version or date","Canonical term Trace Engineering in current source","Contains qualified conceptual HORA.city examples","Footer only","/; /lab; /method","Udemy; YouTube through footer","app/lab-definitions/page.tsx; content/lab-definitions.ts; verify:lab-definitions","Trace Engineering definition conflicts with content/methods.ts taxonomy.","Resolve the definition conflict and externally verify the route after deployment.","High","High","Yes"
"PJL-ROUTE-010","About the LAB page","Public route","PayloadJourneyLAB","app/lab/page.tsx; content/payload-journey-lab.ts","/lab","https://www.payloadjourneylab.com/lab","Published and stable","Public page retrieved; current verifier passed.","Canonical institutional and founder page","In sitemap and configured indexable","Founder identified; Person JSON-LD present","No page publication or update date","Consistent","Explains LAB origin in the HORA.city investigation","Footer only","/method; /investigation; /cases; /learn","Udemy; YouTube; no LinkedIn","app/lab/page.tsx; lib/structured-data.ts:99-103; public retrieval 2026-07-27","Founder has no externally linked profile and page has no dated provenance.","Verify and add approved external identity links and editorial dates.","Medium","High","Yes — identity profiles and indexation"
"PJL-ROUTE-011","LAB ecosystem page","Public route","PayloadJourneyLAB","app/ecosystem/page.tsx; content/payload-journey-lab.ts","/ecosystem","https://www.payloadjourneylab.com/ecosystem","Published and stable","Public page retrieved; current branch verifier passed.","Canonical ecosystem page","In sitemap and configured indexable","Site-level creator and publisher only","No page date","Consistent","Places the case within applied investigation","Footer only","/learn; /cases; /lab","Udemy; YouTube through footer","app/ecosystem/page.tsx; content/routes.ts:98-106; public retrieval 2026-07-27","Collaboration is described but no contact path is configured.","Define a verified collaboration/contact channel before stronger propagation.","Medium","High","Yes — indexation"
"PJL-ROUTE-012","LabLog route","Conditional route","PayloadJourneyLAB","app/lablog/page.tsx; content/cases.ts; config/site.ts","/lablog","https://www.payloadjourneylab.com/lablog","Published but needs revision","Live page retrieved, but current branch returns 404 by feature flag and omits it from sitemap.","Deployment/branch conflict","Excluded in current branch; live indexability unknown","No entries and no entry-level authorship","Zero dated entries","Consistent","No structured entries linked to the case","Live footer; omitted from branch route body because route is hidden","/cases; /lab; /protocol","Udemy; live page channel state differs from current content","config/site.ts:9-12; app/lablog/page.tsx:14-16; public retrieval 2026-07-27","Critical publication drift between deployment and repository.","Choose intended public state, identify deployed commit and align route, sitemap and navigation.","Critical","High","Yes — deployment and indexation"
"PJL-ROUTE-013","Legacy /about redirect","Redirect","PayloadJourneyLAB","next.config.mjs","/about","https://www.payloadjourneylab.com/lab#sobre","Connected to route but not externally verified","Three redirect rules build successfully; public redirect retrieval was unavailable.","Compatibility redirect to /lab#sobre","Permanent redirect configured","Not applicable","No deployment proof","Not applicable","None","None","/lab#sobre","Apex-to-www canonical host redirect","next.config.mjs:3-25; verify:refactor-v3","Public redirect behavior cannot be tied to the current commit.","Verify both apex and www redirect responses after deployment.","Medium","High","Yes"
"PJL-SEO-001","robots.txt implementation","Search configuration","PayloadJourneyLAB","app/robots.ts","/robots.txt","https://www.payloadjourneylab.com/robots.txt","Connected to route but not externally verified","Build emits /robots.txt; live fetch was unavailable.","Single source in app/robots.ts","General crawlers, OAI-SearchBot and ChatGPT-User allowed; GPTBot blocked","Not applicable","No policy date","Not applicable","Affects case discoverability","Not applicable","Sitemap declaration","None","app/robots.ts:4-28; build output","Live policy not retrieved and policy has no effective date.","Capture live response headers/body and record policy ownership.","High","High","Yes"
"PJL-SEO-002","sitemap.xml implementation","Search configuration","PayloadJourneyLAB","app/sitemap.ts; content/routes.ts","/sitemap.xml","https://www.payloadjourneylab.com/sitemap.xml","Connected to route but not externally verified","Build emits sitemap; verifier confirms 11 URLs; live fetch unavailable.","Derived from publicRoutePaths","11 configured URLs; /lablog excluded","Not applicable","No lastModified values","Not applicable","Includes /cases","Not applicable","11 canonical routes","None","app/sitemap.ts; content/routes.ts:264-270; verify:ai-readiness","No lastModified and live contents unverified; deployed LabLog may conflict.","Verify live sitemap and Search Console submission; decide LabLog state.","Critical","High","Yes"
"PJL-SEO-003","Page metadata system","Metadata","PayloadJourneyLAB","lib/metadata.ts; app/layout.tsx; content/routes.ts","All 11 canonical routes","https://www.payloadjourneylab.com/","Published and stable","Verifier confirms 11 unique titles, descriptions, absolute canonicals, OG and Twitter blocks.","Centralized current implementation","robots index/follow globally","Root creator and publisher; no per-page author","No publication or modified dates","Consistent in current source","Cases metadata is hypothesis-aware","Not applicable","Canonical URLs for all pages","Shared logo URL","lib/metadata.ts:17-50; app/layout.tsx:9-45; verify:refactor-v3","Shared square logo is used as all social images; no dates or page authors.","Create page-appropriate social assets and an approved editorial provenance model.","Medium","High","Yes — rendered live metadata"
"PJL-SEO-004","JSON-LD graph","Structured data","PayloadJourneyLAB","lib/structured-data.ts; components/seo/JsonLd.tsx","All 11 canonical routes","https://www.payloadjourneylab.com/","Published but needs revision","Verifier confirms Organization, WebSite, WebPage, Person and CreativeWork.","Centralized graph generator","Rendered on canonical pages","Person connected to LAB and USMT","No dateCreated/dateModified/version","Consistent","No case-specific schema","Course schema intentionally omitted","Organization; WebSite; WebPage; Person; CreativeWork","Organization sameAs includes only YouTube","lib/structured-data.ts; verify:refactor-v3","Generic graph lacks case, course, article, breadcrumb and dated provenance; omission may be appropriate until evidence exists.","Add schema types only after corresponding public entities and fields are verified.","Medium","High","Yes — schema validator and live HTML"
"PJL-SEO-005","Google Analytics tag","Analytics configuration","PayloadJourneyLAB","app/layout.tsx","All pages","https://www.googletagmanager.com/gtag/js?id=G-8HW6J5BBY2","Connected to route but not externally verified","Public identifier embedded in root layout; dashboard access unavailable.","Single hard-coded measurement ID","Not applicable","Ownership not established from repository","No configuration date","Not applicable","Could measure /cases but no data was accessed","No explicit CTA event instrumentation found","All pages","Google Tag Manager script","app/layout.tsx:7,54-65","Repository proves tag presence, not data collection, consent, ownership or event quality.","Verify property ownership, consent requirements, data flow and CTA events.","High","High","Yes"
"PJL-BRAND-001","Primary logo","Public asset","PayloadJourneyLAB","public/brand/logo.png; public/brand/README.md","/brand/logo.png","https://www.payloadjourneylab.com/brand/logo.png","Published and stable","Used in header/footer metadata and build.","Current shared brand and social image","Public static asset","Repository asset; rights/provenance not documented","No asset version","Alt text canonical","None","None","Metadata; header; footer","None","public/brand/logo.png; lib/metadata.ts:13-18","A square logo is reused for every social page and rights provenance is absent.","Document rights and create route-specific Open Graph assets.","Medium","High","No for repository presence; yes for live delivery"
"PJL-BRAND-002","Favicon SVG","Public asset","PayloadJourneyLAB","app/icon.svg","/icon.svg","https://www.payloadjourneylab.com/icon.svg","Published and stable","Emitted by successful build.","Current app icon","Public static metadata asset","Repository asset; provenance not documented","No version","Contains LAB initials","None","None","Root layout metadata convention","None","app/icon.svg; build output","No documented asset ownership/version.","Add brand asset provenance.","Low","High","No"
"PJL-METHOD-001","Payload Journey method","Method","PayloadJourneyLAB","content/methods.ts; content/lab-definitions.ts","/payload-journey; /method; /lab-definitions","https://www.payloadjourneylab.com/payload-journey","Published and stable","Canonical route and definitions in current source; live route retrieved.","Canonical page plus centralized definition","Canonical route in sitemap","Attributed institutionally to LAB; no method publication record","Undated and unversioned","Consistent","Flow-following basis of RPJ-HORA-001","Core course topic","/method; /learn; /cases","Udemy","content/methods.ts:11-13,53-78; content/lab-definitions.ts:220-233","No published version or independent reference.","Create a dated canonical method publication.","Medium","High","Yes — external citations"
"PJL-METHOD-002","Universal System Modeling Template (USMT)","Method","PayloadJourneyLAB","config/site.ts; content/usmt.ts; content/methods.ts","/usmt; /method","https://www.payloadjourneylab.com/usmt","Published but needs revision","Current route and CreativeWork schema are published; live route retrieved.","Canonical expansion is Universal System Modeling Template","Canonical route in sitemap","Valéria dos Santos Reiser linked as creator","No version/date","Current source consistent; historical docs conflict","Expected-model reference for HORA.city examples","Course topic","/payload-journey; /method; /protocol","Udemy","config/site.ts:20-25; content/usmt.ts; docs/ai-readiness/02-sprint-11-canonical-entity-map.md:22-23","Historical Model Template expansion remains discoverable in repository documents.","Mark superseded documents and publish a dated definition/version.","High","High","Yes — external publication record"
"PJL-METHOD-003","Reverse Payload Journey","Method","PayloadJourneyLAB","content/methods.ts; content/hora-city.ts","/method; /learn; /cases","https://www.payloadjourneylab.com/method","Published and stable","Definition is rendered on /method and applied narratively to HORA.city.","Canonical definition in content/methods.ts; no dedicated route","Discoverable within indexed routes","Institutional authorship only","No version/date","Consistent","Recorded method for RPJ-HORA-001","Included in beta messaging","/method; /cases; /learn","Udemy","content/methods.ts:110-133; content/hora-city.ts:17-21","No technical case evidence demonstrates a completed reverse journey.","Publish a sanitized worked trace before claiming demonstrated results.","High","High","No for presence; yes for claimed application outcome"
"PJL-METHOD-004","Operational Payload Path","Method","PayloadJourneyLAB","content/methods.ts; README.md","/method","https://www.payloadjourneylab.com/method","Provisional","Definition is rendered; repository explicitly says no canonical OPP file was located.","Defined concept, no produced canonical artefact","Discoverable within /method","Institutional authorship only","No version/date","Consistent","Intended map of the case flow; no map exists","No direct CTA","/method; /protocol; /cases","None","content/methods.ts:136-160; public /method retrieval","A method output is described but no example or template is published.","Create a sanitized OPP template and Case File 001 instance.","High","High","No"
